penetration,seed,n_vehicles,n_cavs,n_walkers,weather,map,duration_s,wall_seconds,wall_to_sim_ratio,collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian_count,hdv_hit_pedestrian_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,dead_cav_count,decode_errors,publishes_emitted,publishes_dropped,cbr_mean,cbr_max,coll_attentive,coll_distracted,coll_aggressive_hostile
0.5,4,60,30,42,ClearSunset,Town05,120.0,110.53359627723694,0.9211133023103079,1189,21709,648,541,0,0,0,68056,1345,1151,1448,36,0,0,3600,0,0.016375000000000008,0.0165,499,260,430
0.5,0,60,30,60,ClearSunset,Town10HD_Opt,120.0,141.94154500961304,1.182846208413442,1369,25000,802,567,3,1,2,62192,3907,3762,2139,89,0,0,3600,0,0.016375000000000008,0.0165,623,354,392
0.5,1,60,30,59,ClearSunset,Town10HD_Opt,120.0,141.70547652244568,1.1808789710203806,1414,25000,609,805,0,0,0,62125,4036,3511,2328,94,0,0,3600,0,0.016375000000000008,0.0165,669,276,469
0.5,2,60,30,59,ClearSunset,Town10HD_Opt,120.0,140.82627201080322,1.1735522667566936,1376,25000,759,617,4,1,3,61843,4132,3343,2682,120,0,0,3600,0,0.016375000000000008,0.0165,708,280,388
0.5,3,60,30,59,ClearSunset,Town10HD_Opt,120.0,140.90899205207825,1.1742416004339853,1396,25000,766,630,3,2,1,62635,3713,3415,2237,75,0,0,3600,0,0.016375000000000008,0.0165,541,425,430
0.5,4,60,30,59,ClearSunset,Town10HD_Opt,120.0,143.9649863243103,1.1997082193692525,1416,25000,794,622,5,1,4,61266,3969,3394,3371,82,0,0,3600,0,0.016375000000000008,0.0165,602,316,498
0.5,0,60,30,45,HardRainNoon,Town01,120.0,106.62068772315979,0.8885057310263316,1396,25000,849,547,2,2,0,65597,2704,2338,1361,30,0,0,3600,0,0.016375000000000008,0.0165,730,251,415
0.5,1,60,30,44,HardRainNoon,Town01,120.0,102.54596281051636,0.8545496900876363,1401,25000,639,762,5,1,4,67531,1643,1859,967,17,0,0,3600,0,0.016375000000000008,0.0165,801,206,394
0.5,2,60,30,47,HardRainNoon,Town01,120.0,105.46744632720947,0.8788953860600789,1407,25000,819,588,0,0,0,66460,2121,2292,1127,22,0,0,3600,0,0.016375000000000008,0.0165,596,405,406
0.5,3,60,30,44,HardRainNoon,Town01,120.0,102.06615042686462,0.8505512535572052,1370,25000,594,776,0,0,0,67732,1343,1658,1267,26,0,0,3600,0,0.016375000000000008,0.0165,815,240,315
