arm,v2x_enabled,v2v_enabled,map,weather,seed,penetration,n_vehicles,n_cavs,n_walkers,duration_s,collision_count,primary_collision_count,secondary_collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian,hdv_hit_pedestrian,coll_attentive,coll_distracted,coll_aggressive_hostile,coll_ai_realistic,frozen_vehicle_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,cooperative_brakes,v2v_received_total,v2v_deliveries_emitted,publishes_emitted,publishes_dropped,cbr_mean,dead_cav_count,decode_errors,wall_seconds,wall_to_sim_ratio,status
v2i_only,True,False,Town05,ClearNoon,0,1.0,60,60,40,90.0,1,1,0,1,1,0,0,0,0,0,0,0,1,2,102628,2815,590,1789,10,0,0,0,2700,0,0.0163,2,0,84.6,0.94,ok
v2i_only,True,False,Town05,ClearNoon,1,1.0,60,60,43,90.0,3,3,0,5,3,0,0,0,0,0,0,0,3,5,98739,2569,764,950,32,0,0,0,2700,0,0.0163,5,0,72.1,0.801,ok
v2i_only,True,False,Town05,HardRainNoon,0,0.0,60,0,40,90.0,13,11,2,23,0,13,1,0,1,8,4,1,0,23,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,56.7,0.63,ok
v2i_only,True,False,Town05,HardRainNoon,1,0.0,60,0,43,90.0,18,12,6,33,0,18,1,0,1,5,4,9,0,28,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,56.3,0.626,ok
v2i_only,True,False,Town05,HardRainNoon,0,0.5,60,30,40,90.0,10,7,3,19,6,4,0,0,0,3,1,2,4,17,42167,1298,318,864,7,0,0,0,2700,0,0.0163,7,0,64.3,0.714,ok
v2i_only,True,False,Town05,HardRainNoon,1,0.5,60,30,43,90.0,6,5,1,11,3,3,0,0,0,0,0,4,2,11,50101,1125,362,238,4,0,0,0,2700,0,0.0163,3,0,62.6,0.696,ok
v2i_only,True,False,Town05,HardRainNoon,0,0.9,60,54,40,90.0,6,6,0,9,5,1,2,1,1,0,0,2,4,10,86303,2349,504,1162,11,0,0,0,2700,0,0.0163,8,0,78.4,0.871,ok
v2i_only,True,False,Town05,HardRainNoon,1,0.9,60,54,43,90.0,4,4,0,7,3,1,0,0,0,1,0,0,3,8,88251,2143,617,1369,29,0,0,0,2700,0,0.0163,5,0,76.6,0.851,ok
v2i_only,True,False,Town05,HardRainNoon,0,1.0,60,60,40,90.0,2,2,0,2,2,0,0,0,0,0,0,0,2,4,98861,2683,584,1738,27,0,0,0,2700,0,0.0163,4,0,85.5,0.95,ok
v2i_only,True,False,Town05,HardRainNoon,1,1.0,60,60,43,90.0,1,1,0,2,1,0,0,0,0,0,0,0,1,2,100241,2519,648,1242,26,0,0,0,2700,0,0.0163,2,0,78.1,0.868,ok
